face_width,face_length,forehead_width,jaw_width_est,ratio_len_width,ratio_jaw_forehead,face_shape
243.53753493261462,311.39341381628174,203.26558556885144,219.18378143935317,1.2786259523560362,1.0783122964354315,oval
436.0743064903095,457.05866447036897,345.6281038355494,392.4668758412785,1.0481210578555487,1.13551783072738,square
163.09916630907884,197.7340167616214,135.08872215419268,146.78924967817096,1.2123545449309883,1.0866136436171885,square
243.53753493261462,311.39341381628174,203.26558556885144,219.18378143935317,1.2786259523560362,1.0783122964354315,oval
436.0743064903095,457.05866447036897,345.6281038355494,392.4668758412785,1.0481210578555487,1.13551783072738,square
163.09916630907884,197.7340167616214,135.08872215419268,146.78924967817096,1.2123545449309883,1.0866136436171885,square
243.53753493261462,311.39341381628174,203.26558556885144,219.18378143935317,1.2786259523560362,1.0783122964354315,oval
243.53753493261462,311.39341381628174,203.26558556885144,219.18378143935317,1.2786259523560362,1.0783122964354315,oval
436.0743064903095,457.05866447036897,345.6281038355494,392.4668758412785,1.0481210578555487,1.13551783072738,square
163.09916630907884,197.7340167616214,135.08872215419268,146.78924967817096,1.2123545449309883,1.0866136436171885,square
243.53753493261462,311.39341381628174,203.26558556885144,219.18378143935317,1.2786259523560362,1.0783122964354315,oval
436.0743064903095,457.05866447036897,345.6281038355494,392.4668758412785,1.0481210578555487,1.13551783072738,square
163.09916630907884,197.7340167616214,135.08872215419268,146.78924967817096,1.2123545449309883,1.0866136436171885,square
243.53753493261462,311.39341381628174,203.26558556885144,219.18378143935317,1.2786259523560362,1.0783122964354315,oval
436.0743064903095,457.05866447036897,345.6281038355494,392.4668758412785,1.0481210578555487,1.13551783072738,square
163.09916630907884,197.7340167616214,135.08872215419268,146.78924967817096,1.2123545449309883,1.0866136436171885,square
243.53753493261462,311.39341381628174,203.26558556885144,219.18378143935317,1.2786259523560362,1.0783122964354315,oval
436.0743064903095,457.05866447036897,345.6281038355494,392.4668758412785,1.0481210578555487,1.13551783072738,square
163.09916630907884,197.7340167616214,135.08872215419268,146.78924967817096,1.2123545449309883,1.0866136436171885,square
243.53753493261462,311.39341381628174,203.26558556885144,219.18378143935317,1.2786259523560362,1.0783122964354315,oval
436.0743064903095,457.05866447036897,345.6281038355494,392.4668758412785,1.0481210578555487,1.13551783072738,square
163.09916630907884,197.7340167616214,135.08872215419268,146.78924967817096,1.2123545449309883,1.0866136436171885,square
